id,vote
1,Certain to vote
2,Certain to vote
3,Certain to vote
4,Certain to vote
5,Probably will not vote
6,Certain to vote
7,Will probably vote
8,Not sure
9,Not sure
10,About 50/50 chance
11,Certain to vote
12,Will probably vote
13,Certain to vote
14,Certain to vote
15,Certain to vote
16,Certain to vote
17,Certain to vote
18,Certain to vote
19,Certain to vote
20,Certain to vote
21,Certain to vote
22,Certain to vote
23,Certain to vote
24,Certain to vote
25,Certain to vote
26,Certain to vote
27,Certain to vote
28,Will probably vote
29,Certain to vote
30,Will probably vote
31,Certain to vote
32,Certain to vote
33,Will probably vote
34,Will probably vote
35,Certain to vote
36,Certain to vote
37,Certain to vote
38,Certain to vote
39,Will probably vote
40,Certain to vote
41,Certain to vote
42,Will probably vote
43,Certain to vote
44,Certain to vote
45,About 50/50 chance
46,Certain to vote
47,Probably will not vote
48,Certain to vote
49,Will probably vote
50,Certain to vote
51,Not sure
52,Certain to vote
53,Certain to vote
54,Certain to vote
55,Certain to vote
56,Certain to vote
57,About 50/50 chance
58,Certain to vote
59,Certain to vote
60,Certain to vote
61,Certain to vote
62,Certain to vote
63,Certain to vote
64,Will probably vote
65,Will probably vote
66,Certain to vote
67,Certain to vote
68,Will probably vote
69,Certain to vote
70,Certain to vote
71,Certain to vote
72,Probably will not vote
73,Certain to vote
74,About 50/50 chance
75,Not sure
76,Certain to vote
77,Certain to vote
78,Certain to vote
79,About 50/50 chance
80,Certain to vote
81,Certain to vote
82,About 50/50 chance
83,Certain to vote
84,Certain to vote
85,About 50/50 chance
86,Certain to vote
87,Certain to vote
88,Will probably vote
89,Certain to vote
90,About 50/50 chance
91,About 50/50 chance
92,Will probably vote
93,Certain to vote
94,Probably will not vote
95,Will probably vote
96,Certain to vote
97,About 50/50 chance
98,Certain to vote
99,Probably will not vote
100,Certain to vote
101,Probably will not vote
102,Will probably vote
103,Will probably vote
104,Will probably vote
105,Certain to vote
106,Certain to vote
107,Certain to vote
108,Certain to vote
109,Will probably vote
110,Will probably vote
111,Certain to vote
112,About 50/50 chance
113,Certain to vote
114,Certain to vote
115,Certain to vote
116,Certain to vote
117,Certain to vote
118,Certain to vote
119,Certain to vote
120,Certain to vote
121,Certain to vote
122,Certain to vote
123,Will probably vote
124,Will probably vote
125,Certain to vote
126,Certain to vote
127,Certain to vote
128,Certain to vote
129,Certain to vote
130,Certain to vote
131,Certain to vote
132,Certain to vote
133,Certain to vote
134,About 50/50 chance
135,Certain to vote
136,Certain to vote
137,Certain to vote
138,Certain to vote
139,Will probably vote
140,Certain to vote
141,Certain to vote
142,Certain to vote
143,Will probably vote
144,Certain to vote
145,Will probably vote
146,Certain to vote
147,Certain to vote
148,Certain to vote
149,Certain to vote
150,Certain to vote
151,Certain to vote
152,About 50/50 chance
153,Certain to vote
154,Certain to vote
155,Certain to vote
156,Certain to vote
157,Certain to vote
158,About 50/50 chance
159,Certain to vote
160,Certain to vote
161,Will probably vote
162,Certain to vote
163,About 50/50 chance
164,Certain to vote
165,Will probably vote
166,Certain to vote
167,Will probably vote
168,About 50/50 chance
169,Certain to vote
170,Certain to vote
171,Certain to vote
172,Certain to vote
173,Certain to vote
174,Probably will not vote
175,Certain to vote
176,Certain to vote
177,Will probably vote
178,Certain to vote
179,About 50/50 chance
180,Will probably vote
181,About 50/50 chance
182,About 50/50 chance
183,Certain to vote
184,Certain to vote
185,About 50/50 chance
186,Certain to vote
187,Certain to vote
188,Certain to vote
189,Certain to vote
190,About 50/50 chance
191,Certain to vote
192,Certain to vote
193,Certain to vote
194,Will probably vote
195,Certain to vote
196,Will probably vote
197,About 50/50 chance
198,Certain to vote
199,About 50/50 chance
200,Not sure
201,About 50/50 chance
202,About 50/50 chance
203,About 50/50 chance
204,Certain to vote
205,Certain to vote
206,Certain to vote
207,Certain to vote
208,Certain to vote
209,About 50/50 chance
210,Certain to vote
211,Will probably vote
212,Not sure
213,Will probably vote
214,Certain to vote
215,Probably will not vote
216,Certain to vote
217,Will probably vote
218,Certain to vote
219,About 50/50 chance
220,Certain to vote
221,Certain to vote
222,Certain to vote
223,Will probably vote
224,About 50/50 chance
225,Certain to vote
226,Certain to vote
227,Probably will not vote
228,Certain to vote
229,Certain to vote
230,Certain to vote
231,Certain to vote
232,Probably will not vote
233,Probably will not vote
234,Certain to vote
235,About 50/50 chance
236,Certain to vote
237,Will probably vote
238,Certain to vote
239,Certain to vote
240,Certain to vote
241,About 50/50 chance
242,Will probably vote
243,Certain to vote
244,Certain to vote
245,Certain to vote
246,Certain to vote
247,Certain to vote
248,Will probably vote
249,Certain to vote
250,Certain to vote
251,Certain to vote
252,Probably will not vote
253,Certain to vote
254,Certain to vote
255,Certain to vote
256,Certain to vote
257,Certain to vote
258,Certain to vote
259,Will probably vote
260,Certain to vote
261,Certain to vote
262,Certain to vote
263,Certain to vote
264,About 50/50 chance
265,Will probably vote
266,Certain to vote
267,Certain to vote
268,Will probably vote
269,Certain to vote
270,Certain to vote
271,Certain to vote
272,Will probably vote
273,Certain to vote
274,Certain to vote
275,About 50/50 chance
276,Certain to vote
277,Certain to vote
278,Will probably vote
279,Will probably vote
280,Certain to vote
281,Not sure
282,Certain to vote
283,Certain to vote
284,Certain to vote
285,Certain to vote
286,Will probably vote
287,Will probably vote
288,Certain to vote
289,Probably will not vote
290,Certain to vote
291,Certain to vote
292,Certain to vote
293,Certain to vote
294,Certain to vote
295,Certain to vote
296,Certain to vote
297,Certain to vote
298,Will probably vote
299,Certain to vote
300,Certain to vote
301,Certain to vote
302,Certain to vote
303,Will probably vote
304,About 50/50 chance
305,Certain to vote
306,Certain to vote
307,About 50/50 chance
308,Certain to vote
309,Certain to vote
310,About 50/50 chance
311,Certain to vote
312,Certain to vote
313,Certain to vote
314,Will probably vote
315,Certain to vote
316,Certain to vote
317,About 50/50 chance
318,Will probably vote
319,Certain to vote
320,Will probably vote
321,Certain to vote
322,Certain to vote
323,Certain to vote
324,Certain to vote
325,Certain to vote
326,Certain to vote
327,Certain to vote
328,Certain to vote
329,Certain to vote
330,Certain to vote
331,Will probably vote
332,About 50/50 chance
333,Will probably vote
334,Certain to vote
335,About 50/50 chance
336,Certain to vote
337,Certain to vote
338,Certain to vote
339,Will probably vote
340,Certain to vote
341,Certain to vote
342,Certain to vote
343,Certain to vote
344,Certain to vote
345,Certain to vote
346,Certain to vote
347,Certain to vote
348,Will probably vote
349,Certain to vote
350,Probably will not vote
351,Certain to vote
352,Certain to vote
353,Certain to vote
354,Certain to vote
355,Certain to vote
356,Certain to vote
357,Certain to vote
358,Certain to vote
359,Certain to vote
360,Certain to vote
361,Will probably vote
362,Certain to vote
363,Certain to vote
364,Certain to vote
365,Certain to vote
366,Certain to vote
367,Certain to vote
368,Certain to vote
369,Certain to vote
370,Will probably vote
371,Certain to vote
372,Certain to vote
373,Certain to vote
374,Certain to vote
375,Certain to vote
376,Certain to vote
377,About 50/50 chance
378,Will probably vote
379,Certain to vote
380,Certain to vote
381,Will probably vote
382,About 50/50 chance
383,Will probably vote
384,Certain to vote
385,Certain to vote
386,Certain to vote
387,About 50/50 chance
388,Certain to vote
389,Certain to vote
390,Certain to vote
391,Certain to vote
392,Certain to vote
393,Certain to vote
394,Will probably vote
395,About 50/50 chance
396,Certain to vote
397,Certain to vote
398,Certain to vote
399,About 50/50 chance
400,Certain to vote
401,Certain to vote
402,Will probably vote
403,Certain to vote
404,Certain to vote
405,About 50/50 chance
406,Certain to vote
407,Certain to vote
408,Will probably vote
409,Will probably vote
410,Certain to vote
411,Certain to vote
412,Certain to vote
413,Certain to vote
414,Certain to vote
415,About 50/50 chance
416,Certain to vote
417,Certain to vote
418,About 50/50 chance
419,Certain to vote
420,About 50/50 chance
421,Certain to vote
422,Certain to vote
423,Certain to vote
424,Certain to vote
425,Will probably vote
426,Certain to vote
427,Certain to vote
428,Certain to vote
429,Certain to vote
430,Will probably vote
431,About 50/50 chance
432,Certain to vote
433,Certain to vote
434,Certain to vote
435,Will probably vote
436,Certain to vote
437,Certain to vote
438,About 50/50 chance
439,Certain to vote
440,Certain to vote
441,Certain to vote
442,Certain to vote
443,Certain to vote
444,Certain to vote
445,Certain to vote
446,Certain to vote
447,Certain to vote
448,Certain to vote
449,Certain to vote
450,Certain to vote
451,About 50/50 chance
452,Certain to vote
453,About 50/50 chance
454,Certain to vote
455,Certain to vote
456,Certain to vote
457,Will probably vote
458,Certain to vote
459,Probably will not vote
460,Certain to vote
461,Certain to vote
462,Certain to vote
463,Certain to vote
464,Certain to vote
465,Will probably vote
466,Will probably vote
467,About 50/50 chance
468,Will probably vote
469,Certain to vote
470,Certain to vote
471,Certain to vote
472,Certain to vote
473,About 50/50 chance
474,Certain to vote
475,Will probably vote
476,About 50/50 chance
477,Will probably vote
478,Certain to vote
479,Certain to vote
480,Certain to vote
481,Certain to vote
482,Will probably vote
483,Certain to vote
484,Certain to vote
485,Certain to vote
486,Will probably vote
487,Certain to vote
488,Will probably vote
489,Certain to vote
490,Will probably vote
491,Not sure
492,About 50/50 chance
493,Certain to vote
494,Certain to vote
495,Certain to vote
496,Will probably vote
497,Certain to vote
498,Will probably vote
499,Certain to vote
500,Certain to vote
501,Certain to vote
502,Certain to vote
503,Probably will not vote
504,Certain to vote
505,Probably will not vote
506,Certain to vote
507,Will probably vote
508,Certain to vote
509,About 50/50 chance
510,Certain to vote
511,Certain to vote
512,Will probably vote
513,Will probably vote
514,Certain to vote
515,Will probably vote
516,Not sure
517,Certain to vote
518,Certain to vote
519,Certain to vote
520,Certain to vote
521,Certain to vote
522,About 50/50 chance
523,Will probably vote
524,Certain to vote
525,About 50/50 chance
526,Certain to vote
527,Certain to vote
528,Certain to vote
529,Certain to vote
530,Certain to vote
531,Probably will not vote
532,About 50/50 chance
533,Certain to vote
534,Will probably vote
535,Will probably vote
536,Certain to vote
537,Certain to vote
538,Certain to vote
539,Certain to vote
540,Probably will not vote
541,Certain to vote
542,Certain to vote
543,Certain to vote
544,Will probably vote
545,Certain to vote
546,Certain to vote
547,Certain to vote
548,Certain to vote
549,Certain to vote
550,Certain to vote
551,Certain to vote
552,Certain to vote
553,Certain to vote
554,Certain to vote
555,Certain to vote
556,Certain to vote
557,Will probably vote
558,Certain to vote
559,Certain to vote
560,Certain to vote
561,About 50/50 chance
562,Certain to vote
563,Certain to vote
564,Certain to vote
565,Certain to vote
566,Certain to vote
567,Certain to vote
568,About 50/50 chance
569,Certain to vote
570,Certain to vote
571,About 50/50 chance
572,Certain to vote
573,Certain to vote
574,Certain to vote
575,Certain to vote
576,About 50/50 chance
577,Certain to vote
578,Certain to vote
579,Certain to vote
580,Certain to vote
581,Certain to vote
582,Certain to vote
583,Certain to vote
584,Will probably vote
585,Certain to vote
586,Certain to vote
587,Will probably vote
588,Certain to vote
589,Certain to vote
590,Certain to vote
591,Certain to vote
592,Certain to vote
593,Probably will not vote
594,Will probably vote
595,Certain to vote
596,Certain to vote
597,Certain to vote
598,Certain to vote
599,Certain to vote
600,Certain to vote
601,About 50/50 chance
602,Probably will not vote
603,Probably will not vote
604,Certain to vote
605,Certain to vote
606,Certain to vote
607,About 50/50 chance
608,Certain to vote
609,Certain to vote
610,Will probably vote
611,Certain to vote
612,Certain to vote
613,Certain to vote
614,Will probably vote
615,Certain to vote
616,Will probably vote
617,About 50/50 chance
618,Certain to vote
619,Certain to vote
620,Certain to vote
621,Certain to vote
622,Certain to vote
623,Certain to vote
624,Certain to vote
625,Certain to vote
626,Certain to vote
627,Certain to vote
628,Certain to vote
629,About 50/50 chance
630,Certain to vote
631,Will probably vote
632,Certain to vote
633,Certain to vote
634,Will probably vote
635,Certain to vote
636,Certain to vote
637,Certain to vote
638,Certain to vote
639,Certain to vote
640,Certain to vote
641,About 50/50 chance
642,Certain to vote
643,Certain to vote
644,Certain to vote
645,Certain to vote
646,Probably will not vote
647,Certain to vote
648,Certain to vote
649,Certain to vote
650,Certain to vote
651,Will probably vote
652,Certain to vote
653,Certain to vote
654,Certain to vote
655,Will probably vote
656,Certain to vote
657,About 50/50 chance
658,Certain to vote
659,About 50/50 chance
660,Certain to vote
661,Certain to vote
662,Certain to vote
663,Certain to vote
664,Certain to vote
665,Certain to vote
666,Certain to vote
667,Certain to vote
668,Certain to vote
669,Will probably vote
670,Certain to vote
671,Certain to vote
672,About 50/50 chance
673,Certain to vote
674,Certain to vote
675,Certain to vote
676,Certain to vote
677,About 50/50 chance
678,Certain to vote
679,Certain to vote
680,About 50/50 chance
681,Certain to vote
682,Certain to vote
683,Certain to vote
684,Certain to vote
685,Certain to vote
686,Will probably vote
687,Certain to vote
688,Certain to vote
689,About 50/50 chance
690,Certain to vote
691,Certain to vote
692,Will probably vote
693,Certain to vote
694,About 50/50 chance
695,Certain to vote
696,Certain to vote
697,Certain to vote
698,Certain to vote
699,Will probably vote
700,Certain to vote
701,Certain to vote
702,About 50/50 chance
703,About 50/50 chance
704,Certain to vote
705,Certain to vote
706,Certain to vote
707,Certain to vote
708,Probably will not vote
709,Certain to vote
710,Certain to vote
711,Will probably vote
712,Certain to vote
713,Certain to vote
714,Certain to vote
715,Certain to vote
716,Certain to vote
717,Certain to vote
718,Certain to vote
719,Probably will not vote
720,Certain to vote
721,Will probably vote
722,Certain to vote
723,Certain to vote
724,Certain to vote
725,Probably will not vote
726,Certain to vote
727,Will probably vote
728,Certain to vote
729,Certain to vote
730,Certain to vote
731,Certain to vote
732,Certain to vote
733,Certain to vote
734,Certain to vote
735,About 50/50 chance
736,Certain to vote
737,Probably will not vote
738,Certain to vote
739,Certain to vote
740,Certain to vote
741,Certain to vote
742,Certain to vote
743,Will probably vote
744,Will probably vote
745,Certain to vote
746,About 50/50 chance
747,About 50/50 chance
748,Certain to vote
749,Will probably vote
750,About 50/50 chance
751,Certain to vote
752,About 50/50 chance
753,About 50/50 chance
754,Certain to vote
755,Certain to vote
756,Certain to vote
757,Certain to vote
758,Certain to vote
759,Certain to vote
760,Certain to vote
761,About 50/50 chance
762,Certain to vote
763,Certain to vote
764,Certain to vote
765,Certain to vote
766,Certain to vote
767,Certain to vote
768,Certain to vote
769,Will probably vote
770,Certain to vote
771,Certain to vote
772,Certain to vote
773,Certain to vote
774,Certain to vote
775,Certain to vote
776,Certain to vote
777,Certain to vote
778,Certain to vote
779,Certain to vote
780,Certain to vote
781,Certain to vote
782,Certain to vote
783,Certain to vote
784,Certain to vote
785,Certain to vote
786,Certain to vote
787,Certain to vote
788,Certain to vote
789,Certain to vote
790,Certain to vote
791,Certain to vote
792,Certain to vote
793,Certain to vote
794,Certain to vote
795,Certain to vote
796,Certain to vote
797,About 50/50 chance
798,Will probably vote
799,Certain to vote
800,Certain to vote
801,Certain to vote
802,Will probably vote
803,About 50/50 chance
804,Certain to vote
805,Will probably vote
806,Certain to vote
807,About 50/50 chance
808,Certain to vote
809,About 50/50 chance
810,Probably will not vote
811,Certain to vote
812,Certain to vote
813,Certain to vote
814,Certain to vote
815,Probably will not vote
816,Certain to vote
817,About 50/50 chance
818,Certain to vote
819,Certain to vote
820,Certain to vote
821,Certain to vote
822,About 50/50 chance
823,Certain to vote
824,Certain to vote
825,Certain to vote
826,Will probably vote
827,Certain to vote
828,Certain to vote
829,Certain to vote
830,Certain to vote
831,Certain to vote
832,Certain to vote
833,Certain to vote
834,Certain to vote
835,Certain to vote
836,Probably will not vote
837,Certain to vote
838,About 50/50 chance
839,Will probably vote
840,Certain to vote
841,Certain to vote
842,Certain to vote
843,About 50/50 chance
844,Certain to vote
845,Certain to vote
846,Certain to vote
847,About 50/50 chance
848,About 50/50 chance
849,Certain to vote
850,Certain to vote
851,Will probably vote
852,Certain to vote
853,Certain to vote
854,Certain to vote
855,Certain to vote
856,Certain to vote
857,Certain to vote
858,Certain to vote
859,Certain to vote
860,Certain to vote
861,Certain to vote
862,Will probably vote
863,Certain to vote
864,About 50/50 chance
865,Certain to vote
866,Certain to vote
867,Certain to vote
868,Certain to vote
869,Certain to vote
870,Certain to vote
871,Certain to vote
872,Certain to vote
873,Probably will not vote
874,Certain to vote
875,Certain to vote
876,Certain to vote
877,Certain to vote
878,Certain to vote
879,About 50/50 chance
880,Will probably vote
881,About 50/50 chance
882,Will probably vote
883,Certain to vote
884,About 50/50 chance
885,Probably will not vote
886,Certain to vote
887,About 50/50 chance
888,Certain to vote
889,Will probably vote
890,Certain to vote
891,Certain to vote
892,About 50/50 chance
893,Certain to vote
894,Certain to vote
895,Certain to vote
896,Certain to vote
897,Certain to vote
898,Certain to vote
899,Certain to vote
900,Will probably vote
901,Certain to vote
902,Certain to vote
903,Certain to vote
904,About 50/50 chance
905,Certain to vote
906,Certain to vote
907,Certain to vote
908,Will probably vote
909,Certain to vote
910,Certain to vote
911,Will probably vote
912,Certain to vote
913,Certain to vote
914,Certain to vote
915,Certain to vote
916,Will probably vote
917,Certain to vote
918,Certain to vote
919,Certain to vote
920,Certain to vote
921,Certain to vote
922,Certain to vote
923,Certain to vote
924,About 50/50 chance
925,Certain to vote
926,Certain to vote
927,Certain to vote
928,Certain to vote
929,Certain to vote
930,Certain to vote
931,Probably will not vote
932,Certain to vote
933,Will probably vote
934,Certain to vote
935,Will probably vote
936,Certain to vote
937,Certain to vote
938,About 50/50 chance
939,Will probably vote
940,Certain to vote
941,Certain to vote
942,Will probably vote
943,Certain to vote
944,Certain to vote
945,Certain to vote
946,Certain to vote
947,Certain to vote
948,Certain to vote
949,Will probably vote
